kankersoort	periode	geslacht	leeftijdsgroep	cr
kanker_van_de_spijsverteringsorganen	2005	Man	group:20-24	1,02
kanker_van_de_spijsverteringsorganen	2005	Man	group:25-29	2,01
kanker_van_de_spijsverteringsorganen	2005	Man	group:30-34	5,68
kanker_van_de_spijsverteringsorganen	2005	Man	group:35-39	12,93
kanker_van_de_spijsverteringsorganen	2005	Man	group:40-44	23,78
kanker_van_de_spijsverteringsorganen	2005	Man	group:45-49	54,27
kanker_van_de_spijsverteringsorganen	2005	Man	group:50-54	98,53
kanker_van_de_spijsverteringsorganen	2005	Man	group:55-59	186,81
kanker_van_de_spijsverteringsorganen	2005	Man	group:60-64	299,01
kanker_van_de_spijsverteringsorganen	2005	Man	group:65-69	446,44
kanker_van_de_spijsverteringsorganen	2005	Man	group:70-74	623,48
kanker_van_de_spijsverteringsorganen	2005	Man	group:75-79	802,96
kanker_van_de_spijsverteringsorganen	2005	Man	group:80-84	887,14
kanker_van_de_spijsverteringsorganen	2005	Man	group:85+	813,46
kanker_van_de_spijsverteringsorganen	2006	Man	group:0-4	0,2
kanker_van_de_spijsverteringsorganen	2006	Man	group:5-9	0,39
kanker_van_de_spijsverteringsorganen	2006	Man	group:10-14	0,59
kanker_van_de_spijsverteringsorganen	2006	Man	group:15-19	1,18
kanker_van_de_spijsverteringsorganen	2006	Man	group:20-24	1,43
kanker_van_de_spijsverteringsorganen	2006	Man	group:25-29	2,62
kanker_van_de_spijsverteringsorganen	2006	Man	group:30-34	7,29
kanker_van_de_spijsverteringsorganen	2006	Man	group:35-39	12,76
kanker_van_de_spijsverteringsorganen	2006	Man	group:40-44	20,3
kanker_van_de_spijsverteringsorganen	2006	Man	group:45-49	49,81
kanker_van_de_spijsverteringsorganen	2006	Man	group:50-54	102,12
kanker_van_de_spijsverteringsorganen	2006	Man	group:55-59	189,03
kanker_van_de_spijsverteringsorganen	2006	Man	group:60-64	316,85
kanker_van_de_spijsverteringsorganen	2006	Man	group:65-69	449,54
kanker_van_de_spijsverteringsorganen	2006	Man	group:70-74	615,56
kanker_van_de_spijsverteringsorganen	2006	Man	group:75-79	786,99
kanker_van_de_spijsverteringsorganen	2006	Man	group:80-84	885,09
kanker_van_de_spijsverteringsorganen	2006	Man	group:85+	893,18
kanker_van_de_spijsverteringsorganen	2007	Man	group:0-4	1,43
kanker_van_de_spijsverteringsorganen	2007	Man	group:10-14	0,8
kanker_van_de_spijsverteringsorganen	2007	Man	group:15-19	0,59
kanker_van_de_spijsverteringsorganen	2007	Man	group:20-24	1,63
kanker_van_de_spijsverteringsorganen	2007	Man	group:25-29	2,42
kanker_van_de_spijsverteringsorganen	2007	Man	group:30-34	5,92
kanker_van_de_spijsverteringsorganen	2007	Man	group:35-39	12,97
kanker_van_de_spijsverteringsorganen	2007	Man	group:40-44	22,96
kanker_van_de_spijsverteringsorganen	2007	Man	group:45-49	49,14
kanker_van_de_spijsverteringsorganen	2007	Man	group:50-54	107,19
kanker_van_de_spijsverteringsorganen	2007	Man	group:55-59	194,01
kanker_van_de_spijsverteringsorganen	2007	Man	group:60-64	325,03
kanker_van_de_spijsverteringsorganen	2007	Man	group:65-69	450,76
kanker_van_de_spijsverteringsorganen	2007	Man	group:70-74	668,2
kanker_van_de_spijsverteringsorganen	2007	Man	group:75-79	843,52
kanker_van_de_spijsverteringsorganen	2007	Man	group:80-84	921,37
kanker_van_de_spijsverteringsorganen	2007	Man	group:85+	899,39
kanker_van_de_spijsverteringsorganen	2008	Man	group:0-4	1,46
kanker_van_de_spijsverteringsorganen	2008	Man	group:5-9	0,39
kanker_van_de_spijsverteringsorganen	2008	Man	group:10-14	0,2
kanker_van_de_spijsverteringsorganen	2008	Man	group:15-19	0,58
kanker_van_de_spijsverteringsorganen	2008	Man	group:20-24	1,4
kanker_van_de_spijsverteringsorganen	2008	Man	group:25-29	2,41
kanker_van_de_spijsverteringsorganen	2008	Man	group:30-34	6,69
kanker_van_de_spijsverteringsorganen	2008	Man	group:35-39	12,2
kanker_van_de_spijsverteringsorganen	2008	Man	group:40-44	26,29
kanker_van_de_spijsverteringsorganen	2008	Man	group:45-49	53,77
kanker_van_de_spijsverteringsorganen	2008	Man	group:50-54	110,44
kanker_van_de_spijsverteringsorganen	2008	Man	group:55-59	193,27
kanker_van_de_spijsverteringsorganen	2008	Man	group:60-64	337,53
kanker_van_de_spijsverteringsorganen	2008	Man	group:65-69	485,19
kanker_van_de_spijsverteringsorganen	2008	Man	group:70-74	657,19
kanker_van_de_spijsverteringsorganen	2008	Man	group:75-79	848,44
kanker_van_de_spijsverteringsorganen	2008	Man	group:80-84	946,22
kanker_van_de_spijsverteringsorganen	2008	Man	group:85+	862,83
kanker_van_de_spijsverteringsorganen	2009	Man	group:0-4	0,84
kanker_van_de_spijsverteringsorganen	2009	Man	group:5-9	0,39
kanker_van_de_spijsverteringsorganen	2009	Man	group:10-14	0,2
kanker_van_de_spijsverteringsorganen	2009	Man	group:15-19	0,77
kanker_van_de_spijsverteringsorganen	2009	Man	group:20-24	2,56
kanker_van_de_spijsverteringsorganen	2009	Man	group:25-29	3,6
kanker_van_de_spijsverteringsorganen	2009	Man	group:30-34	8,36
kanker_van_de_spijsverteringsorganen	2009	Man	group:35-39	11,72
kanker_van_de_spijsverteringsorganen	2009	Man	group:40-44	24,25
kanker_van_de_spijsverteringsorganen	2009	Man	group:45-49	55,46
kanker_van_de_spijsverteringsorganen	2009	Man	group:50-54	106,61
kanker_van_de_spijsverteringsorganen	2009	Man	group:55-59	194,58
kanker_van_de_spijsverteringsorganen	2009	Man	group:60-64	323,48
kanker_van_de_spijsverteringsorganen	2009	Man	group:65-69	492
kanker_van_de_spijsverteringsorganen	2009	Man	group:70-74	656,48
kanker_van_de_spijsverteringsorganen	2009	Man	group:75-79	845,75
kanker_van_de_spijsverteringsorganen	2009	Man	group:80-84	998,15
kanker_van_de_spijsverteringsorganen	2009	Man	group:85+	876,78
kanker_van_de_spijsverteringsorganen	2010	Man	group:0-4	0,21
kanker_van_de_spijsverteringsorganen	2010	Man	group:5-9	0,2
kanker_van_de_spijsverteringsorganen	2010	Man	group:10-14	0,2
kanker_van_de_spijsverteringsorganen	2010	Man	group:15-19	1,93
kanker_van_de_spijsverteringsorganen	2010	Man	group:20-24	1,35
kanker_van_de_spijsverteringsorganen	2010	Man	group:25-29	4,37
kanker_van_de_spijsverteringsorganen	2010	Man	group:30-34	5,98
kanker_van_de_spijsverteringsorganen	2010	Man	group:35-39	14,41
kanker_van_de_spijsverteringsorganen	2010	Man	group:40-44	26,12
